time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/std
1,747.0,1,-6913.457454,2048,1979,,,,,,,,,,,
2,732.0,2,-6934.5634256,4096,1374,0.2,10,-1.8523817591369152,0.035693359375,33353.51903686523,0.0045184027,-0.004933838287252001,0.0003,13857.3154296875,0.0016356110572814941,0.6141775846481323
3,808.5714285714286,4,-7557.7892387142865,6144,1260,0.2,20,-1.8573622174561024,0.025048828125,21460.714361572267,0.0034358483,-0.003984448345727287,0.0003,7164.53369140625,0.03902614116668701,0.6108567714691162
4,851.1111111111111,6,-7545.841393111112,8192,1201,0.2,30,-1.8535740315914153,0.017333984375,26366.1813293457,0.002419169,-0.0014180661004502327,0.0003,10633.67578125,-0.03529942035675049,0.611976683139801
5,878.1818181818181,8,-7496.351882090909,10240,1164,0.2,40,-1.8568499885499476,0.046337890625,15056.455117797852,0.005141773,-0.005195500768604688,0.0003,5825.4853515625,-0.002301812171936035,0.6133561134338379
6,851.7142857142857,10,-6638.847395142858,12288,1156,0.2,50,-1.8609598353505135,0.064453125,12702.086940002442,0.007404281,-0.007597255383734592,0.0003,6254.62353515625,9.822845458984375e-05,0.6156901121139526
7,870.25,13,-6477.182883625001,14336,1044,0.2,60,-1.8604293424636125,0.05771484375,5396.891952514648,0.0067306347,-0.005444049861398526,0.0003,2136.049560546875,-0.00019252300262451172,0.6131764650344849
8,872.7777777777778,16,-6092.544936444446,16384,977,0.2,70,-1.8638750869780778,0.054638671875,5724.03268661499,0.0057883654,-0.0067918037268100305,0.0003,2599.747314453125,-3.5881996154785156e-05,0.6166298389434814
9,875.95,19,-5806.84876825,18432,932,0.2,80,-1.8722205135971308,0.055908203125,2588.010498046875,0.006290881,-0.003957329494005535,0.0003,1412.4552001953125,-9.906291961669922e-05,0.6187129616737366
10,883.695652173913,23,-5395.587926347826,20480,888,0.2,90,-1.8852116037160158,0.066943359375,2583.933553314209,0.0076138377,-0.007881551935861352,0.0003,984.079345703125,-6.949901580810547e-05,0.624559760093689
11,893.0,27,-5180.438573320001,22528,828,0.2,100,-1.8849169310182332,0.09990234375,708.6305006027221,0.011109883,-0.0033796545641962437,0.0003,451.75042724609375,-2.682209014892578e-05,0.6186378598213196
